geoid,intptlat,intptlon,geometry
10100US060730177012030,33.0697295,-117.3055807,POINT (-117.305580701627 33.069729518201)
10100US060730177012010,33.0731196,-117.3066107,POINT (-117.3066107381245 33.07311958666564)
10100US060730177012011,33.0741995,-117.308179,POINT (-117.3081789743251 33.07419950926229)
10100US060730177012009,33.0753756,-117.308064,POINT (-117.3080639774909 33.07537557095977)
10100US060730177013006,33.0751455,-117.3056676,POINT (-117.3056675845655 33.07514548831769)
10100US060730177013001,33.0772389,-117.3060959,POINT (-117.306095946602 33.07723896290806)
10100US060730177011009,33.0857248,-117.3068045,POINT (-117.3068044963345 33.08572481384331)
10100US060730177011005,33.0869036,-117.3096313,POINT (-117.3096312688572 33.08690356721534)
10100US060730177011012,33.082628,-117.3051963,POINT (-117.3051962784506 33.0826280291007)
10100US060730177011017,33.0831053,-117.3086817,POINT (-117.308681665934 33.08310531096345)
10100US060730176043001,33.0524844,-117.2758928,POINT (-117.2758927945409 33.05248438023762)
10100US060730176043005,33.0524766,-117.2750614,POINT (-117.2750613871624 33.05247657996505)
10100US060730176043004,33.0524639,-117.2742233,POINT (-117.2742232992007 33.05246395710938)
10100US060730176042018,33.04793,-117.2634693,POINT (-117.2634693052345 33.04792997784197)
10100US060730176013001,33.0893905,-117.2887374,POINT (-117.2887375586524 33.08939024387712)
10100US060730176013004,33.0898684,-117.3018015,POINT (-117.3018015240145 33.08986841982099)
10100US060730176013006,33.0868715,-117.2968178,POINT (-117.2968178057632 33.08687154728403)
10100US060730176013028,33.085129,-117.298355,POINT (-117.2983550080269 33.08512896514342)
10100US060730176013031,33.0740764,-117.2707126,POINT (-117.2707125946624 33.07407655778844)
10100US060730043002018,32.7358516,-117.1261043,POINT (-117.1261042859192 32.73585158363833)
10100US060730176013034,33.0685398,-117.2644359,POINT (-117.2644359027055 33.06853974526372)
10100US060730176013029,33.0712512,-117.2627272,POINT (-117.2627272113898 33.07125119781612)
10100US060730176013021,33.0813941,-117.2671654,POINT (-117.267165468754 33.08139410459907)
10100US060730176013035,33.0672267,-117.2762933,POINT (-117.2762932580902 33.06722674543798)
10100US060730042002040,32.7301312,-117.122119,POINT (-117.1221189600895 32.73013120129969)
10100US060730042002041,32.7311735,-117.1220671,POINT (-117.1220670666526 32.73117353515965)
10100US060730176013016,33.0808815,-117.2785011,POINT (-117.2785012212175 33.08088164044319)
10100US060730208012004,33.0843958,-116.9349297,POINT (-116.9349298419355 33.08439563209839)
10100US060730208012016,33.0703039,-116.9262778,POINT (-116.9262778047391 33.07030397192213)
10100US060730208012015,33.074289,-116.9066717,POINT (-116.9066716896117 33.07428899690224)
10100US060730189041003,33.3811751,-117.2579064,POINT (-117.257906402627 33.38117510726452)
10100US060730208012037,33.0436457,-116.9114045,POINT (-116.9114045168495 33.04364564547374)
10100US060730208012033,33.0594613,-116.874456,POINT (-116.8744559835347 33.05946134851981)
10100US060730208012029,33.0481977,-116.9217483,POINT (-116.9217480052179 33.04819751526001)
10100US060730208012032,33.0625241,-116.8736798,POINT (-116.8736798227649 33.06252410509889)
10100US060730207101025,33.0691479,-116.9770571,POINT (-116.9770570993508 33.06914788363625)
10100US060730188023018,33.3237386,-117.1927585,POINT (-117.192758510569 33.32373862724214)
10100US060730188023021,33.3170148,-117.1943853,POINT (-117.1938042563525 33.31895540077196)
10100US060730188023019,33.3258899,-117.1899486,POINT (-117.1899486235139 33.32588991799308)
10100US060730188023015,33.325474,-117.1816436,POINT (-117.1816432104041 33.32547427810089)
10100US060730188023020,33.3299278,-117.1906813,POINT (-117.1906813197023 33.32992784269415)
10100US060730209041044,33.0611394,-116.6957902,POINT (-116.6957851011738 33.06114122108912)
10100US060730209041027,33.0812322,-116.656735,POINT (-116.6567349618193 33.08123214927786)
10100US060730209043013,33.0802126,-116.6000408,POINT (-116.6000408233468 33.08021255496556)
